Company,Ticker,Industry
3i Infrastructure,3IN,Financial Services
4imprint,FOUR,Media
Abrdn,ABDN,Financial Services
Alfa Financial Software,ALFA,Software and Computer Services
Alliance Witan,ALW,Investment Trusts
Allianz Technology Trust,ATT,Investment Trusts
Alpha Group International,ALPH,Financial Services
AO World,AO,Retail
Apax Global Alpha,APAX,Financial Services
Ashmore Group,ASHM,Financial Services
Asia Dragon Trust,DGN,Investment Trusts
Assura,AGR,Real Estate Investment Trusts
Aston Martin Lagonda,AML,Automobiles & Parts
Auction Technology Group,ATG,Software & Computer Services
AVI Global Trust,AGT,Investment Trusts
Babcock International,BAB,Support Services
Baillie Gifford Japan Trust,BGFD,Investment Trusts
Baillie Gifford US Growth Trust,USA,Investment Trusts
Bakkavör,BAKK,Food & Tobacco
Balanced Commercial Property Trust,BCPT,Investment Trusts
Balfour Beatty,BBY,Construction & Materials
Baltic Classifieds,BCG,Consumer Digital Services
Bankers Investment Trust,BNKR,Investment Trusts
Bank of Georgia,BGEO,Banking Services
A.G. Barr,BAG,Beverages
BBGI,BBGI,Financial Services
AJ Bell,AJB,Financial Services
Bellevue Healthcare Trust,BBH,Investment Trusts
Bellway,BWY,Home Construction
BH Macro,BHMG,Hedge Funds
Big Yellow Group,BYG,Real Estate Investment Trusts
BlackRock Greater Europe Investment Trust,BRGE,Investment Trusts
BlackRock Smaller Companies Trust,BRSC,Equity Investments
BlackRock Throgmorton Trust,THRG,Equity Investments
BlackRock World Mining Trust,BRWM,Investment Trusts
Bloomsbury Publishing,BMY,Publishing
Bluefield Solar Income Fund,BSIF,Investment Trusts
Bodycote,BOY,Industrial Engineering
Breedon Group,BREE,Construction & Materials
Bridgepoint Group,BPT,Financial Services
Britvic,BVIC,Beverages
Brunner Investment Trust,BUT,Investment Trusts
Burberry,BRBY,Personal goods
Bytes Technology Group,BYIT,Aerospace & Defence
C&C Group,CCR,Food & Tobacco
Caledonia Investments,CLDN,Investment Trusts
Capital Gearing Trust,CGT,Investment Trusts
Carnival Corporation & plc,CCL,Travel & Leisure
Centamin,CEY,Mining
Ceres Power,CWR,Alternative Energy
Chemring Group,CHG,Aerospace & Defence
Chrysalis Investments,CHRY,Investment Trusts
City of London Investment Trust,CTY,Investment Trusts
Clarkson,CKN,Industrial Transportation
Close Brothers Group,CBG,Banks
CMC Markets,CMCX,Financial Services
Coats Group,COA,Consumer Staples
Computacenter,CCC,Software & Computer Services
Cranswick,CWK,Food Producers
Crest Nicholson,CRST,Home Construction
Currys,CURY,Retailers
Derwent London,DLN,Real Estate Investment Trusts
Direct Line,DLG,Nonlife Insurance
discoverIE,DSCV,Support Services
Domino's Pizza,DOM,Travel & Leisure
Dowlais Group,DWL,Automobiles & Parts
Drax Group,DRX,Electricity
Dr. Martens,DOCS,Retailers
Dunelm Group,DNLM,Retailers
Edinburgh Investment Trust,EDIN,Investment Trusts
Edinburgh Worldwide Investment Trust,EWI,Investment Trusts
Elementis,ELM,Chemicals
Empiric Student Property,ESP,Real estate
Energean,ENOG,Oil & Gas Producers
Essentra,ESNT,Support Services
European Opportunities Trust,EOT,Investment Trusts
European Smaller Companies Trust,ESCT,Investment Trusts
Fidelity China Special Situations,FCSS,Investment Trusts
Fidelity Emerging Markets,FEML,Investment Trusts
Fidelity European Trust,FEV,Investment Trusts
Fidelity Special Values,FSV,Investment Trusts
Finsbury Growth & Income Trust,FGT,Equity Investments
FirstGroup,FGP,Travel & Leisure
Foresight Group,FSG,Investment Banking and Brokerage Services
Foresight Solar Fund,FSFL,Collective Investments
Future,FUTR,Media
Games Workshop Group,GAW,Leisure Goods
GCP Infrastructure Investments,GCP,General Financial
Genuit Group,GEN,Construction & Materials
Genus,GNS,Pharmaceuticals & Biotechnology
Global Smaller Companies Trust,GSCT,Investment Trusts
Goodwin,GDWN,General Industrials
Grafton Group,GFTU,Support Services
Grainger,GRI,Real Estate Investment & Services
Great Portland Estates,GPE,Real Estate Investment Trusts
Greencoat UK Wind,UKW,"Gas, Water & Multiutilities"
Greencore,GNC,"Food, Beverage and Tobacco"
Greggs,GRG,Food & Drug Retailers
Hammerson,HMSO,Real Estate Investment Trusts
Harbour Energy,HBR,Oil & Gas Producers
HarbourVest Global Private Equity,HVPE,Equity Investments
Harworth Group,HWG,Real Estate
Hays,HAS,Support Services
Helios Towers,HTWS,Telecomms
Henderson European Trust,HET,Investment Trusts
Henderson Smaller Companies Investment Trust,HSL,Investment Trusts
Herald Investment Trust,HRI,Investment Trusts
Hg Capital Trust,HGT,Investment Trusts
HICL Infrastructure Company,HICL,Investment Trusts
Hill & Smith,HILS,Industrial Engineering
Hilton Food Group,HFG,Food Producers
Hochschild Mining,HOC,Basic Resources
Hollywood Bowl Group,BOWL,Travel and leisure
Hunting,HTG,"Oil, Gas and Coal"
Ibstock,IBST,Construction & Materials
ICG Enterprise Trust,ICGT,Investment Trusts
IG Group Holdings,IGG,Financial Services
Impax Environmental Markets,IEM,Investment Trusts
Inchcape,INCH,Retailers
IntegraFin Holdings,IHP,Financial Services
International Distribution Services,IDS,Delivery Services
International Public Partnerships,INPP,Financial Services
Investec,INVP,Financial Services
IP Group,IPO,Financial Services
Ithaca Energy,ITH,Oil & Gas Producers
ITV,ITV,Media
IWG,IWG,Support Services
JLEN Environmental Assets Group,JLEN,Investment Trusts
Johnson Matthey,JMAT,Chemicals
JPMorgan American Investment Trust,JAM,Investment Trusts
JPMorgan Emerging Markets Investment Trust,JMG,Investment Trusts
JPMorgan European Discovery,JEDT,Investment Trusts
JPMorgan Global Growth & Income,JGGI,Investment Trusts
JPMorgan Indian Investment Trust,JII,Investment Trusts
JPMorgan Japanese Investment Trust,JFJ,Investment Trusts
JTC,JTC,Financial Services
Jupiter Fund Management,JUP,Financial Services
Just Group,JUST,Life Insurance
Kainos,KNOS,Software & Computer Services
Keller Group,KLR,Construction & Materials
Kier Group,KIE,Construction & Materials
Lancashire Holdings,LRE,Nonlife Insurance
Law Debenture,LWDB,Investment Trusts
Man Group,EMG,Investment Trusts
Marshalls,MSLH,Construction & Materials
ME Group International,MEGP,Leisure Goods
Mercantile Investment Trust,MRC,Collective Investments
Merchants Trust,MRCH,Investment Trusts
Mitchells & Butlers,MAB,Travel & Leisure
Mitie,MTO,Support Services
Molten Ventures,GROW,Financial Services
MONY Group,MONY,Media
Monks Investment Trust,MNKS,Investment Trusts
Moonpig,MOON,Retailers
Morgan Advanced Materials,MGAM,Electronic & Electrical Equipment
Morgan Sindall Group,MGNS,Construction & Materials
Murray Income Trust,MUT,Investment Trusts
Murray International Trust,MYI,Investment Trusts
NB Private Equity Partners,NBPE,Collective Investments
NCC Group,NCC,Software and Computer Services
NextEnergy Solar Fund,NESF,Collective Investments
Ninety One,N91,Financial Services
North Atlantic Smaller Companies Investment Trust,NAS,Investment Trusts
Ocado Group,OCDO,Food & drug retailers
OneSavings Bank,OSB,Banks
Oxford Instruments,OXIG,Electronic & Electrical Equipment
Pacific Horizon Investment Trust,PHI,Investment Trusts
PageGroup,PAGE,Support Services
Pantheon International,PIN,Equity Investments
Paragon Banking Group,PAG,Financial Services
Patria Private Equity Trust,PPET,Financial Services
Pennon Group,PNN,"Gas, Water & Multiutilities"
Personal Assets Trust,PNL,Investment Trusts
Petershill Partners,PHLL,Investment Trusts
Pets at Home,PETS,Retailers
Playtech,PTEC,Software & Computer Services
Plus500,PLUS,Financial Services
Polar Capital Global Financials Trust,PCFT,Investment Trusts
Polar Capital Technology Trust,PCT,Investment Trusts
PPHE Hotel Group,PPH,Travel and Leisure
Premier Foods,PFD,Food & Drug Retailers
Primary Health Properties,PHP,Real Estate Investment Trusts
PRS REIT,PRS,Real Estate Investment Trusts
PureTech Health,PRTC,Health Care Equipment & Services
PZ Cussons,PZC,Personal Goods
Qinetiq,QQ,Aerospace & Defence
Quilter,QLT,Financial Services
Raspberry Pi Holdings,RPI,Technology
Rathbones,RAT,Financial Services
Renewi,RWI,Utilities
Renishaw,RSW,Electronic & Electrical Equipment
RHI Magnesita,RHIM,Support Services
RIT Capital Partners,RCP,Investment Trusts
Rotork,ROR,Industrial Engineering
RS Group,RS1,Industrials
Ruffer Investment Company,RICA,Investment Trusts
Safestore,SAFE,Real Estate Investment Trusts
Savills,SVS,Real Estate Investment & Services
Schroder AsiaPacific Fund,SDP,Investment Trusts
Schroder Oriental Income Fund,SOI,Financial Services
Scottish American Investment Company,SAIN,Investment Trusts
SDCL Energy Efficiency Income Trust,SEIT,Energy
Senior,SNR,Aerospace & Defence
Sequoia Economic Infrastructure Income Fund,SEQI,Financial Services
Serco,SRP,Support Services
Shaftesbury Capital,SHC,Real Estate Investment Trusts
Sirius Real Estate,SRE,Real Estate
Smithson Investment Trust,SSON,Investment Trusts
Softcat,SCT,Software & Computer Services
Spectris,SXS,Electronic & Electrical Equipment
Spire Healthcare,SPI,Health Care Equipment & Services
Spirent,SPT,Telecomms
SSP Group,SSPG,Retailers
SThree,STEM,Support Services
St. James's Place,STJ,Financial services
Supermarket Income REIT,SUPR,Real Estate Investment Trusts
Syncona,SYNC,Pharmaceuticals & Biotechnology
Target Healthcare REIT,THRL,Real Estate Investment Trusts
Tate & Lyle,TATE,Food Producers
TBC Bank,TBCG,Banks
Telecom Plus,TEP,Telecomms
Temple Bar Investment Trust,TMPL,Collective Investments
Templeton Emerging Markets Investment Trust,TEM,Investment Trusts
The Renewables Infrastructure Group,TRIG,Investment Trusts
TI Fluid Systems,TIFS,Automobiles & Parts
TP ICAP,TCAP,Support Services
Trainline,TRN,Industrial Transportation
Travis Perkins,TPK,Support Services
Tritax Big Box REIT,BBOX,Real Estate Investment Trusts
Tritax EuroBox,EBOX,Investment Trusts
TR Property Investment Trust,TRY,Investment Trusts
Trustpilot,TRST,Technology
Twentyfour Income Fund,TFIF,Investment Trusts
Urban Logistics REIT,SHED,Real Estate Investment Trusts
Vesuvius,VSVS,General Industrials
Victrex,VCT,Chemicals
Vietnam Enterprise Investments,VEIL,General Financial
VinaCapital Vietnam Opportunity Fund,VOF,General Financial
Volution Group,FAN,Construction & Materials
W. A. G. Payment Solutions,WPS,Financial Services
Watches of Switzerland,WOSG,Personal Goods
Wetherspoon (J D),JDW,Travel & Leisure
W H Smith,SMWH,Retailers
Wizz Air,WIZZ,Travel & Leisure
Wood Group,WG,Oil & Gas Related Equipment and Services
Workspace Group,WKP,Real Estate Investment Trusts
Worldwide Healthcare Trust,WWH,Investment Trusts
XPS Pensions,XPS,Financial Services
Zigup,ZIG,Support Services
